               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10896,            0.045306,            0.022246,            0.000751,            0.055558,          0.00043346,          9.9657e-05,            0.092244,             0.04603,             0.01968,           0.0032558,           0.0032558,            0.070698
                   1,             0.10206,            0.047506,            0.019885,          0.00087131,            0.055619,           0.0004949,          0.00011748,            0.089353,            0.047796,            0.018723,           0.0065694,           0.0065694,            0.040678
                   2,             0.10022,            0.048446,            0.018416,           0.0041816,           0.0037136,          0.00058223,          0.00012289,            0.097758,            0.041865,            0.017601,           0.0098629,           0.0098629,            0.010638
                   3,            0.096412,             0.04897,            0.017177,             0.34201,           0.0024959,          0.00076872,          0.00017534,             0.10927,            0.035946,            0.030596,             0.00991,             0.00991,             0.00991
                   4,            0.094731,            0.046208,            0.014317,              0.6729,            0.057906,            0.003224,          0.00070564,            0.089187,            0.045204,            0.013621,             0.00991,             0.00991,             0.00991
                   5,            0.089882,            0.043739,            0.011873,             0.72438,            0.086609,            0.037395,           0.0077421,            0.078696,            0.060707,            0.011131,             0.00988,             0.00988,             0.00988
                   6,            0.084585,            0.047238,            0.012057,             0.70359,            0.062898,            0.015859,           0.0031877,            0.088704,             0.11687,            0.015346,             0.00985,             0.00985,             0.00985
                   7,            0.080441,            0.046231,            0.011476,             0.76871,            0.081243,            0.062582,            0.015536,            0.079803,            0.060918,            0.011802,             0.00982,             0.00982,             0.00982
                   8,            0.076725,            0.046833,            0.011587,             0.35757,           0.0044927,           0.0027733,          0.00099998,            0.095687,             0.20104,            0.012862,             0.00979,             0.00979,             0.00979
                   9,            0.074624,            0.041444,            0.010866,             0.86152,             0.15974,              0.1576,            0.058453,            0.062686,            0.051223,            0.010635,             0.00976,             0.00976,             0.00976
                  10,            0.068977,            0.043896,             0.01068,             0.76881,             0.10995,             0.05777,            0.018836,            0.069382,             0.04418,            0.011469,             0.00973,             0.00973,             0.00973
                  11,            0.068193,             0.04067,            0.010656,             0.84891,              0.1852,             0.16234,            0.056892,            0.056624,            0.039255,            0.010296,              0.0097,              0.0097,              0.0097
                  12,            0.066934,            0.040946,            0.010588,             0.84805,              0.1898,             0.17824,            0.049573,            0.055651,            0.041289,            0.010534,             0.00967,             0.00967,             0.00967
                  13,            0.064505,            0.038917,            0.010878,             0.90679,             0.20673,             0.23705,            0.088469,            0.049325,             0.03804,            0.009958,             0.00964,             0.00964,             0.00964
                  14,            0.065195,            0.039368,            0.010157,             0.88692,             0.20255,             0.20975,            0.080484,            0.048631,            0.038083,             0.01005,             0.00961,             0.00961,             0.00961
                  15,            0.063024,            0.036322,            0.010508,             0.91835,             0.20829,              0.2479,             0.11096,            0.051331,            0.034884,            0.010045,             0.00958,             0.00958,             0.00958
                  16,            0.061562,            0.037669,            0.010164,             0.92578,             0.21191,             0.25698,             0.10646,            0.047882,            0.036533,           0.0093938,             0.00955,             0.00955,             0.00955
                  17,            0.060151,            0.037269,           0.0096731,             0.91174,             0.21216,             0.25407,             0.11521,            0.046837,            0.034174,           0.0096722,             0.00952,             0.00952,             0.00952
                  18,            0.060281,            0.034586,            0.010138,             0.93686,             0.21789,             0.30129,             0.13375,            0.043907,            0.031639,           0.0094896,             0.00949,             0.00949,             0.00949
                  19,            0.056487,            0.037634,           0.0097505,             0.93063,             0.23032,             0.32799,             0.14193,            0.045622,            0.031043,           0.0093399,             0.00946,             0.00946,             0.00946
                  20,            0.058183,            0.038553,           0.0093553,             0.95051,             0.23047,              0.3442,             0.14266,            0.046711,            0.030738,           0.0089598,             0.00943,             0.00943,             0.00943
                  21,            0.056327,            0.033769,           0.0092836,             0.60138,             0.37042,             0.34858,             0.17249,            0.040632,            0.030868,           0.0084738,              0.0094,              0.0094,              0.0094
                  22,            0.056519,            0.033549,             0.00943,             0.63933,             0.38188,             0.37501,             0.17036,             0.04119,            0.029962,           0.0088792,             0.00937,             0.00937,             0.00937
                  23,            0.055891,            0.037455,           0.0092064,             0.69435,             0.37514,             0.37991,             0.16736,            0.043482,            0.029548,           0.0081372,             0.00934,             0.00934,             0.00934
                  24,            0.054089,            0.032916,           0.0089553,             0.72673,              0.3902,             0.39771,             0.18532,            0.040717,            0.028615,           0.0077455,             0.00931,             0.00931,             0.00931
                  25,              0.0531,             0.03394,           0.0086131,             0.75826,             0.37081,             0.39993,             0.19199,            0.039759,            0.028932,           0.0077802,             0.00928,             0.00928,             0.00928
                  26,            0.054036,            0.032161,           0.0083947,             0.69365,             0.33046,             0.33371,             0.14807,            0.044355,            0.032816,           0.0086396,             0.00925,             0.00925,             0.00925
                  27,            0.052491,            0.036109,           0.0090184,             0.79087,             0.38492,             0.43396,             0.21651,            0.037386,            0.028665,           0.0072417,             0.00922,             0.00922,             0.00922
                  28,            0.052136,            0.036855,           0.0082806,             0.80198,             0.39549,             0.43918,             0.21619,            0.037776,            0.027255,           0.0074898,             0.00919,             0.00919,             0.00919
                  29,            0.051108,            0.030419,           0.0072264,             0.84599,              0.4003,             0.45322,             0.22802,            0.037511,            0.027714,           0.0066212,             0.00916,             0.00916,             0.00916
                  30,            0.051055,            0.032904,           0.0077076,              0.8333,             0.42994,             0.48139,             0.23863,            0.037859,            0.027199,           0.0063115,             0.00913,             0.00913,             0.00913
                  31,             0.04998,            0.030576,           0.0072924,             0.82121,             0.41972,             0.45942,              0.2149,             0.03967,            0.026682,           0.0061521,              0.0091,              0.0091,              0.0091
                  32,            0.048367,            0.031546,           0.0077934,             0.84653,             0.42866,             0.48279,             0.23773,            0.034931,            0.026011,           0.0063482,             0.00907,             0.00907,             0.00907
                  33,            0.047712,            0.029819,           0.0072502,             0.85302,             0.43387,             0.49182,              0.2515,            0.035401,            0.026999,           0.0061014,             0.00904,             0.00904,             0.00904
                  34,            0.051687,            0.030342,           0.0078874,             0.81017,             0.40606,             0.43449,             0.21092,            0.037096,            0.030544,           0.0063767,             0.00901,             0.00901,             0.00901
                  35,            0.051069,            0.029801,           0.0077589,             0.83436,             0.42981,             0.47582,             0.24527,            0.035021,            0.026472,           0.0060301,             0.00898,             0.00898,             0.00898
                  36,            0.049154,            0.032893,           0.0071057,             0.83103,             0.44778,             0.49273,             0.24973,            0.036344,            0.027148,           0.0057111,             0.00895,             0.00895,             0.00895
                  37,            0.048174,            0.033834,           0.0065244,             0.79391,             0.37247,             0.40136,             0.19322,             0.03927,            0.031022,           0.0070436,             0.00892,             0.00892,             0.00892
                  38,            0.048013,            0.031076,           0.0067245,             0.85882,             0.44173,             0.50037,             0.26029,             0.03486,            0.025771,           0.0060823,             0.00889,             0.00889,             0.00889
                  39,            0.046699,            0.030596,           0.0071498,             0.89704,             0.43681,             0.52016,             0.28006,            0.033185,            0.025752,           0.0056127,             0.00886,             0.00886,             0.00886
                  40,            0.045891,            0.029865,           0.0066399,             0.88604,             0.43671,             0.50792,             0.24035,             0.03823,            0.025462,           0.0055524,             0.00883,             0.00883,             0.00883
                  41,            0.047018,            0.032835,           0.0068015,             0.89368,             0.45303,             0.51939,             0.26206,            0.033402,            0.028486,           0.0056543,              0.0088,              0.0088,              0.0088
                  42,            0.046188,            0.030066,            0.006856,             0.91084,             0.44787,             0.53336,             0.29311,            0.032137,             0.02433,            0.005411,             0.00877,             0.00877,             0.00877
                  43,            0.046701,            0.028231,           0.0070892,             0.85283,             0.49145,             0.53809,             0.29281,            0.033249,            0.025045,           0.0051437,             0.00874,             0.00874,             0.00874
                  44,            0.044815,            0.030651,           0.0066618,             0.88537,             0.48536,             0.53831,             0.29893,            0.031332,            0.024389,           0.0053599,             0.00871,             0.00871,             0.00871
