               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11016,            0.038303,            0.022079,          0.00076806,            0.054152,          0.00044748,          0.00011242,            0.091935,            0.046096,            0.019605,           0.0032558,           0.0032558,            0.070698
                   1,             0.10213,            0.049968,            0.019985,          0.00081412,            0.057521,          0.00047927,          0.00012153,            0.089174,            0.048061,            0.018571,           0.0065694,           0.0065694,            0.040678
                   2,            0.098962,            0.053569,            0.018432,            0.001206,           0.0068638,          0.00055094,          0.00012955,            0.090207,            0.047307,            0.017508,           0.0098629,           0.0098629,            0.010638
                   3,            0.095724,            0.047651,            0.016391,             0.67328,            0.010109,           0.0017238,          0.00040295,            0.087275,            0.048347,            0.015065,             0.00991,             0.00991,             0.00991
                   4,             0.09099,            0.045428,            0.013129,             0.66927,            0.002965,          0.00077654,          0.00015086,             0.10378,            0.041665,            0.012966,             0.00991,             0.00991,             0.00991
                   5,            0.086794,            0.047964,            0.012332,             0.67077,             0.04293,           0.0015067,          0.00036073,              0.1031,            0.048044,            0.012445,             0.00988,             0.00988,             0.00988
                   6,            0.080226,             0.04543,            0.011615,             0.69139,            0.039686,           0.0087139,           0.0019266,            0.079332,             0.14605,            0.013042,             0.00985,             0.00985,             0.00985
                   7,            0.076209,            0.047019,            0.011108,             0.69595,             0.02783,           0.0088595,           0.0026307,            0.086085,            0.046891,            0.014755,             0.00982,             0.00982,             0.00982
                   8,            0.072414,            0.043094,             0.01063,             0.80148,             0.16161,             0.10767,            0.029251,            0.066921,            0.046059,            0.010478,             0.00979,             0.00979,             0.00979
                   9,            0.072147,            0.041617,            0.011384,             0.86161,             0.15812,             0.16477,            0.060228,            0.058619,             0.06095,            0.012273,             0.00976,             0.00976,             0.00976
                  10,             0.06802,            0.041311,             0.01063,             0.87161,             0.18067,             0.19707,            0.082835,            0.051703,            0.046354,            0.010983,             0.00973,             0.00973,             0.00973
                  11,            0.065209,            0.039693,            0.010316,             0.84862,             0.13204,             0.13755,            0.057411,            0.064477,            0.066554,            0.011712,              0.0097,              0.0097,              0.0097
                  12,            0.062499,            0.039215,            0.010173,             0.88927,             0.21299,             0.22032,            0.080067,            0.050805,            0.034718,            0.010093,             0.00967,             0.00967,             0.00967
                  13,            0.061575,             0.03708,            0.010432,             0.90776,             0.22408,             0.25686,             0.12134,            0.046766,            0.035492,            0.010135,             0.00964,             0.00964,             0.00964
                  14,            0.060186,            0.034362,           0.0098901,             0.89963,             0.18794,             0.21929,            0.096253,            0.051095,            0.034771,            0.011403,             0.00961,             0.00961,             0.00961
                  15,            0.057074,            0.036049,            0.010285,             0.92571,             0.21715,             0.28912,             0.13759,            0.042452,            0.032945,            0.010799,             0.00958,             0.00958,             0.00958
                  16,            0.056413,             0.03323,            0.010769,              0.9268,             0.23283,             0.28795,             0.13544,            0.042934,            0.029965,            0.010214,             0.00955,             0.00955,             0.00955
                  17,             0.05793,            0.036301,            0.010109,             0.92209,             0.20242,             0.25933,             0.11744,             0.04415,            0.035302,            0.010662,             0.00952,             0.00952,             0.00952
                  18,            0.055585,             0.03516,           0.0096351,             0.94529,             0.24406,             0.34586,             0.17032,            0.040598,            0.029367,           0.0098946,             0.00949,             0.00949,             0.00949
                  19,             0.05563,            0.033542,              0.0105,             0.95407,             0.24832,             0.36105,              0.1744,            0.038637,            0.030851,           0.0094124,             0.00946,             0.00946,             0.00946
                  20,            0.053218,            0.032609,           0.0098462,              0.6184,             0.36689,              0.3521,             0.17841,            0.039431,            0.028543,           0.0092891,             0.00943,             0.00943,             0.00943
                  21,            0.053124,            0.029452,            0.008923,             0.60655,             0.35791,             0.35056,             0.15971,            0.041396,            0.029128,            0.009093,              0.0094,              0.0094,              0.0094
                  22,            0.050914,            0.031993,           0.0094814,             0.59591,             0.34744,             0.33593,             0.17095,             0.03871,            0.033503,           0.0096108,             0.00937,             0.00937,             0.00937
                  23,            0.050546,            0.033562,           0.0093033,             0.65794,             0.37395,             0.37384,              0.1982,            0.036273,            0.028727,           0.0082068,             0.00934,             0.00934,             0.00934
                  24,            0.049166,            0.029213,           0.0092339,             0.68181,             0.42983,             0.43824,             0.22883,            0.035079,            0.027108,           0.0083785,             0.00931,             0.00931,             0.00931
                  25,            0.050126,            0.034071,           0.0088557,             0.72652,             0.40354,             0.42683,             0.21382,            0.036289,             0.02832,           0.0078392,             0.00928,             0.00928,             0.00928
                  26,            0.049307,            0.033057,            0.009319,             0.77332,             0.41766,             0.46458,             0.23301,            0.037149,            0.027559,            0.007631,             0.00925,             0.00925,             0.00925
                  27,            0.046947,            0.027806,           0.0084658,             0.76034,             0.43092,             0.46625,             0.24298,            0.034474,            0.025954,           0.0072246,             0.00922,             0.00922,             0.00922
                  28,            0.048362,            0.030103,           0.0078993,              0.7682,             0.42976,             0.46046,             0.18918,            0.041453,            0.025886,           0.0069428,             0.00919,             0.00919,             0.00919
                  29,             0.04633,            0.032084,           0.0078803,             0.81257,             0.44098,             0.49458,             0.24011,            0.036573,            0.024834,            0.007089,             0.00916,             0.00916,             0.00916
                  30,            0.046302,            0.031194,           0.0083127,             0.81167,             0.46111,              0.4987,             0.26345,            0.033741,            0.027259,           0.0064862,             0.00913,             0.00913,             0.00913
                  31,            0.048105,            0.028163,           0.0075153,             0.84495,              0.4278,             0.50107,             0.26606,            0.033233,            0.026387,           0.0066894,              0.0091,              0.0091,              0.0091
                  32,            0.045585,            0.030642,           0.0075174,             0.84967,             0.46323,             0.50443,              0.2587,            0.034526,            0.025352,             0.00616,             0.00907,             0.00907,             0.00907
                  33,            0.046534,            0.030233,           0.0078007,             0.84554,             0.36993,             0.42794,             0.22422,            0.036384,            0.026473,           0.0079844,             0.00904,             0.00904,             0.00904
