,title,link,channel,views,time_published,snippet,verified_badge,extensions
0,Are you making these face mask mistakes?,https://www.youtube.com/watch?v=tGkhfd2PuAY,"{'channel_name': 'CBC News', 'channel_link': 'https://www.youtube.com/c/CBCNews'}",102K views,1 year ago,,True,
1,Detection of Incorrect Facemask Wearing (FRI UL),https://www.youtube.com/watch?v=g4bvj1MELQk,"{'channel_name': 'UL Knowledge Transfer Office', 'channel_link': 'https://www.youtube.com/channel/UCmbfHgCpKQd05NWLBv9SDDw'}",25 views,5 months ago,We studied the problem of face-mask detection relevant in the scope of monitoring applications for the COVID-19 pandemic.,,
2,Funny video shows the right versus wrong way to wear a mask.,https://www.youtube.com/watch?v=pwDINvsn2ik,"{'channel_name': 'WHO Eastern Mediterranean Region', 'channel_link': 'https://www.youtube.com/c/WHOEMR'}",8.8K views,1 year ago,Staff from WHO Regional Office for the Eastern Mediterranean illustrate the right and wrong practices of mask use during the ...,,
3,"Right, wrong way to wear a mask",https://www.youtube.com/watch?v=needzUgq27M,"{'channel_name': 'WCPO 9', 'channel_link': 'https://www.youtube.com/c/Wcpo9'}",1.9K views,1 year ago,"Many people wear their face masks incorrectly, according to a pharmacist and medical supply expert.",True,
4,What Happens To Your Lungs When You Wear A Face Mask Every Day?,https://www.youtube.com/watch?v=vNWKqRGuy5k,"{'channel_name': 'The List', 'channel_link': 'https://www.youtube.com/c/TheListDaily'}",488K views,1 year ago,,True,CC
5,Depeche Mode - Wrong (Official Video),https://www.youtube.com/watch?v=fhnrrLxQEVQ,"{'channel_name': 'Depeche Mode', 'channel_link': 'https://www.youtube.com/channel/UCM-CWGUijAC-8idv6k6Fygw'}",6.1M views,2 years ago,Credits Performed By: Depeche Mode Written By: Martin L. Gore Produced By: Ben Hillier Video Director: Patrick Daughters ...,True,
6,Experts Say Masks Are Useless Against COVID-19,https://www.youtube.com/watch?v=QaZ5l1X7cTo,"{'channel_name': 'Pyrogun1839', 'channel_link': 'https://www.youtube.com/channel/UCRXE9HwPnYHZZ9o2NougX5w'}",43K views,1 year ago,"WA state has ordered us to wear cloth masks and to save N95 and surgical masks for healthcare professionals. Yet, as expert on ...",,
7,Wearing masks with COVID-19,https://www.youtube.com/watch?v=Rn7LhJeqYiI,"{'channel_name': 'DaVita Kidney Care', 'channel_link': 'https://www.youtube.com/c/DaVitaKidneyCare'}",293K views,2 years ago,,,
8,Anti-Maskers and the face mask debate | COVID-19 Special,https://www.youtube.com/watch?v=w_RxkekW7sE,"{'channel_name': 'DW News', 'channel_link': 'https://www.youtube.com/c/dwnews'}",997K views,1 year ago,Experts say wearing face masks is imperative when trying to slow the spread of the coronavirus. But as the coronavirus pandemic ...,True,
9,What is the Personality Profile of People Who Refuse to Wear Masks | Are Masks Effective?,https://www.youtube.com/watch?v=HWP-1l9tZXM,"{'channel_name': 'Dr. Todd Grande', 'channel_link': 'https://www.youtube.com/c/ToddGrande'}",309K views,1 year ago,,True,
